seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
95,1706649500.0,GPS1_Frame,42.338175,-71.08653166666667,26.8,328112.7727018577,4689432.942511907,19,T,1.3,"$GPGGA,211820.000,4220.2905,N,07105.1919,W,1,08,1.3,26.8,M,-33.8,M,,0000*5C"
96,1706649501.0,GPS1_Frame,42.33817166666667,-71.08653333333334,27.0,328112.62631464796,4689432.575739808,19,T,1.3,"$GPGGA,211821.000,4220.2903,N,07105.1920,W,1,08,1.3,27.0,M,-33.8,M,,0000*58"
97,1706649502.0,GPS1_Frame,42.33817,-71.086535,27.1,328112.4844686704,4689432.394038341,19,T,1.3,"$GPGGA,211822.000,4220.2902,N,07105.1921,W,1,08,1.3,27.1,M,-33.8,M,,0000*5A"
98,1706649503.0,GPS1_Frame,42.33817166666667,-71.086535,27.1,328112.4890099125,4689432.579108975,19,T,1.3,"$GPGGA,211823.000,4220.2903,N,07105.1921,W,1,08,1.3,27.1,M,-33.8,M,,0000*5A"
99,1706649504.0,GPS1_Frame,42.33817333333333,-71.08653666666666,26.9,328112.35624641855,4689432.767548776,19,T,1.3,"$GPGGA,211824.000,4220.2904,N,07105.1922,W,1,08,1.3,26.9,M,-33.8,M,,0000*50"
100,1706649505.0,GPS1_Frame,42.33817166666667,-71.08653666666666,26.9,328112.3517051727,4689432.582478145,19,T,1.3,"$GPGGA,211825.000,4220.2903,N,07105.1922,W,1,08,1.3,26.9,M,-33.8,M,,0000*56"
101,1706649506.0,GPS1_Frame,42.33817166666667,-71.08653833333334,27.0,328112.2144004329,4689432.585847316,19,T,1.3,"$GPGGA,211826.000,4220.2903,N,07105.1923,W,1,08,1.3,27.0,M,-33.8,M,,0000*5C"
102,1706649507.0,GPS1_Frame,42.33817,-71.08654166666666,27.0,328111.9352497009,4689432.407515036,19,T,1.6,"$GPGGA,211827.000,4220.2902,N,07105.1925,W,1,07,1.6,27.0,M,-33.8,M,,0000*50"
103,1706649508.0,GPS1_Frame,42.338166666666666,-71.08654833333334,27.0,328111.3769481894,4689432.050850509,19,T,1.6,"$GPGGA,211828.000,4220.2900,N,07105.1929,W,1,07,1.6,27.0,M,-33.8,M,,0000*51"
104,1706649509.0,GPS1_Frame,42.338165,-71.08655333333333,26.9,328110.9604926597,4689431.875887458,19,T,1.3,"$GPGGA,211829.000,4220.2899,N,07105.1932,W,1,08,1.3,26.9,M,-33.8,M,,0000*59"
105,1706649510.0,GPS1_Frame,42.33816,-71.08656,27.0,328110.39764975867,4689431.334152375,19,T,1.3,"$GPGGA,211830.000,4220.2896,N,07105.1936,W,1,08,1.3,27.0,M,-33.8,M,,0000*52"
106,1706649511.0,GPS1_Frame,42.338155,-71.08656666666667,27.0,328109.8348067715,4689430.792417334,19,T,1.3,"$GPGGA,211831.000,4220.2893,N,07105.1940,W,1,08,1.3,27.0,M,-33.8,M,,0000*57"
107,1706649512.0,GPS1_Frame,42.33815,-71.08657166666667,27.0,328109.4092684857,4689430.247313108,19,T,1.3,"$GPGGA,211832.000,4220.2890,N,07105.1943,W,1,08,1.3,27.0,M,-33.8,M,,0000*54"
108,1706649513.0,GPS1_Frame,42.338145,-71.08657666666667,27.1,328108.9837301356,4689429.7022089055,19,T,1.3,"$GPGGA,211833.000,4220.2887,N,07105.1946,W,1,08,1.3,27.1,M,-33.8,M,,0000*57"
109,1706649514.0,GPS1_Frame,42.33813833333333,-71.08658166666666,27.1,328108.55365038046,4689428.972034098,19,T,1.6,"$GPGGA,211834.000,4220.2883,N,07105.1949,W,1,06,1.6,27.1,M,-33.8,M,,0000*50"
