seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read,fix_quality
103,1706726436.0,GPS1_Frame,41.97345833333333,-87.90023666666667,150.2,425413.236926392,4647221.238129201,16,T,1.9,"$GPGGA,184036.000,4158.4075,N,08754.0142,W,1,06,1.9,150.2,M,-34.1,M,,0000*62",
104,1706726437.0,GPS1_Frame,41.97345833333333,-87.90023666666667,150.3,425413.236926392,4647221.238129201,16,T,1.9,"$GPGGA,184037.000,4158.4075,N,08754.0142,W,1,06,1.9,150.3,M,-34.1,M,,0000*62",
105,1706726438.0,GPS1_Frame,41.973456666666664,-87.90023666666667,150.3,425413.2349817228,4647221.053079515,16,T,1.9,"$GPGGA,184038.000,4158.4074,N,08754.0142,W,1,06,1.9,150.3,M,-34.1,M,,0000*6C",
106,1706726439.0,GPS1_Frame,41.973456666666664,-87.90023666666667,150.4,425413.2349817228,4647221.053079515,16,T,1.9,"$GPGGA,184039.000,4158.4074,N,08754.0142,W,1,06,1.9,150.4,M,-34.1,M,,0000*6A",
107,1706726440.0,GPS1_Frame,41.973456666666664,-87.90023666666667,150.4,425413.2349817228,4647221.053079515,16,T,1.9,"$GPGGA,184040.000,4158.4074,N,08754.0142,W,1,06,1.9,150.4,M,-34.1,M,,0000*64",
108,1706726441.0,GPS1_Frame,41.973455,-87.90023666666667,150.5,425413.2330370537,4647220.86802983,16,T,1.9,"$GPGGA,184041.000,4158.4073,N,08754.0142,W,1,06,1.9,150.5,M,-34.1,M,,0000*63",
109,1706726442.0,GPS1_Frame,41.973455,-87.90023666666667,150.5,425413.2330370537,4647220.86802983,16,T,1.9,"$GPGGA,184042.000,4158.4073,N,08754.0142,W,1,06,1.9,150.5,M,-34.1,M,,0000*60",
110,1706726443.0,GPS1_Frame,41.97345333333333,-87.900235,150.6,425413.3691809411,4647220.6815289855,16,T,1.9,"$GPGGA,184043.000,4158.4072,N,08754.0141,W,1,06,1.9,150.6,M,-34.1,M,,0000*60",
111,1706726444.0,GPS1_Frame,41.97345333333333,-87.900235,150.7,425413.3691809411,4647220.6815289855,16,T,1.9,"$GPGGA,184044.000,4158.4072,N,08754.0141,W,1,06,1.9,150.7,M,-34.1,M,,0000*66",
112,1706726445.0,GPS1_Frame,41.97345166666667,-87.900235,150.8,425413.3672362757,4647220.496479301,16,T,1.9,"$GPGGA,184045.000,4158.4071,N,08754.0141,W,1,06,1.9,150.8,M,-34.1,M,,0000*6B",
113,1706726446.0,GPS1_Frame,41.97345166666667,-87.900235,150.9,425413.3672362757,4647220.496479301,16,T,1.9,"$GPGGA,184046.000,4158.4071,N,08754.0141,W,1,06,1.9,150.9,M,-34.1,M,,0000*69",
